vid_id,frame_order,left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle
0,0,44.616184,45.58366,74.31164,75.78382,33.730007,42.13161,122.58039,127.11895,51.88966,34.165817,29.366705,11.997074,34.49884,9.536471,34.766296,34.263794
0,1,44.785343,45.319645,76.10876,76.79507,31.981766,39.302784,123.38482,126.65802,49.100586,33.16866,28.751902,11.787817,35.02561,9.934409,34.764217,33.39555
0,2,44.907803,45.655598,76.511536,78.169975,39.03759,43.101467,128.73569,132.46251,51.61608,40.597023,27.868805,10.669149,36.084465,9.258501,34.062817,33.561043
0,3,45.922737,47.054585,79.295685,80.862114,49.87769,51.389236,139.14879,141.82007,59.323757,51.28837,28.674877,10.537262,39.659523,9.5382595,34.75624,34.213974
0,4,40.62046,43.18325,77.09547,79.10895,47.636646,49.443848,135.30775,138.79196,58.721348,47.935104,30.19299,10.41341,41.268585,9.376397,30.759424,31.533577
0,5,39.479916,44.128872,82.24831,84.994514,65.369835,55.174606,144.98425,146.24127,64.54525,65.45903,32.7787,10.671512,49.643223,9.174672,28.039179,31.397589
0,6,44.145973,41.84331,79.86836,78.620224,72.545586,59.918686,143.1762,139.394,65.48714,77.65634,39.698986,10.018398,59.7776,9.395317,30.307741,29.906729
0,7,43.619957,38.15722,77.53236,76.805466,66.624115,56.305256,132.80814,129.10214,63.99093,70.29168,40.571835,11.021576,63.12839,9.303335,27.553604,26.730862
0,8,47.385654,36.265762,73.203964,73.4633,83.44625,62.179733,129.63426,127.36684,71.52593,84.97879,46.13986,12.315296,71.56762,9.569969,33.37231,27.782526
0,9,38.644264,40.997833,71.78477,71.2684,73.38725,81.08296,129.00462,129.27483,90.79982,75.66574,50.282,14.451201,77.86848,12.811017,31.043463,33.998077
0,10,39.73986,38.11166,72.39547,71.81249,80.332016,78.0819,130.55309,129.23695,85.739136,84.33368,49.71435,16.092182,79.22888,15.210629,27.714676,29.593088
0,11,38.739864,41.302376,72.170555,67.76278,79.767494,84.66416,128.06473,122.04607,91.98666,84.468544,52.839676,17.820782,83.07679,24.067251,25.584805,33.003277
0,12,36.049213,40.197453,66.69606,66.21458,72.05604,78.55727,116.34187,116.67282,84.32973,78.51936,50.624992,16.216158,80.55462,18.960964,23.232944,27.067177
0,13,36.753952,41.077923,65.25588,64.828125,72.60285,79.80897,112.1044,112.677795,84.33029,79.32592,49.681744,18.113262,77.62077,21.506699,22.04639,25.75985
0,14,40.267284,40.571842,64.88497,65.237564,80.93808,83.95182,112.677025,114.43526,86.50637,88.528046,50.011806,20.28002,76.471596,25.895184,24.050224,26.479189
0,15,38.957558,43.667286,67.53087,65.98634,76.48932,83.824615,112.06337,110.57846,91.591194,79.52534,51.07459,22.150192,74.601326,29.605036,18.970688,23.40772
0,16,38.96496,43.995262,63.570744,64.71436,82.22764,87.28928,110.52811,110.359314,94.649055,84.08278,48.11946,22.55298,67.53036,31.006504,20.21127,24.681173
0,17,40.96824,45.48651,64.85092,65.842285,90.7129,93.42284,115.45852,114.43205,100.04215,91.83705,44.78081,24.913364,62.77279,34.63108,22.576078,25.332344
0,18,43.443,46.14619,64.72678,63.484592,88.435844,91.10574,109.96392,109.2048,94.68308,91.91604,39.844284,25.879333,54.636524,36.649487,20.9976,23.469542
0,19,45.022915,46.55137,65.205956,65.02271,101.06166,102.30802,120.1078,119.35656,107.32069,101.210556,37.17236,27.620089,44.574474,38.872765,24.31501,26.358812
0,20,44.483402,47.225563,65.49564,64.07095,96.644,98.668976,117.30088,114.59979,102.192924,97.1981,34.54323,26.308716,36.043453,38.516254,20.093216,22.290794
