vid_id,frame_order,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
0,0,84.880271,67.1403959,61.34981916,172.9552845,156.8294212,179.5898812,176.4666574
0,1,87.45556276,68.87927518,60.79589943,173.3581722,162.6535834,175.2049832,177.4344823
0,2,88.17870062,69.77526336,60.55854741,172.92469,165.0930248,173.5587169,178.0326079
0,3,87.07178365,71.33945475,60.7990797,171.477907,168.3994881,174.7623365,179.5855856
0,4,86.18458335,72.40109294,61.10336833,172.1091198,179.908565,174.2803587,177.4473803
0,5,83.85667016,71.83941091,61.49663083,170.8393608,179.8883692,176.8169478,174.8449823
0,6,80.83205314,72.21478122,63.67267235,173.5795092,179.3183949,178.0177725,173.2919596
0,7,79.74070657,71.01363653,63.68348555,173.4878473,179.7214983,177.4620232,173.6541335
0,8,78.49964871,71.14201542,64.61034972,175.1240392,176.2978398,177.6576067,174.3875551
0,9,79.05164535,71.1817159,64.01257853,175.1730102,173.8661567,176.4860778,175.5723344
0,10,79.21479508,71.01667749,62.30598903,172.532527,176.0522215,175.9946824,172.620528
0,11,80.52440402,70.33881825,62.82462014,171.6966046,150.596598,175.2343669,172.3811399
0,12,83.46513924,72.27915647,58.9754133,172.1627502,168.3681784,175.2483119,172.0104072
0,13,83.23412425,72.06262079,59.43515075,172.0140423,170.9094699,175.6781191,172.4967674
0,14,83.36557183,72.67171802,60.70983361,171.68471,173.2417741,175.8396121,172.6520505
0,15,82.32443875,72.75076572,60.96251934,170.3527831,177.1890574,176.8836794,172.4868409
0,16,82.1051537,72.93363117,61.33995689,170.3083911,177.3741439,177.52634,172.2954295
0,17,82.18104041,73.03861063,61.93690556,170.0889119,177.4061737,178.4551289,172.3962194
0,18,82.42721294,73.56468295,62.69352031,169.6586844,177.6879819,178.6176514,172.6463657
0,19,82.74402959,74.60253733,63.38049922,169.8880573,179.4038491,178.4205804,175.1372601
0,20,84.34175811,80.34618239,63.92264229,169.8967186,179.1292904,175.3869204,176.516402
0,21,90.67107849,87.37899012,62.53284805,171.2329176,177.084208,170.2917833,165.8106566
0,22,95.877063,91.24586583,61.17518841,172.1371096,175.7897043,164.159108,159.3232584
0,23,98.35887863,90.70218041,61.82585361,175.3402355,170.8627237,158.7209873,155.5811369
0,24,100.4691069,93.72835605,71.84833804,175.5240558,170.5360216,153.0773944,151.8092201
0,25,98.77591048,100.4720625,77.72601391,155.9125106,175.5203058,147.4928736,147.2626607
0,26,100.0661776,109.6579404,84.95112389,148.3567043,176.3788298,139.8943617,139.7682706
0,27,111.6627702,120.9428514,98.02777127,157.0640762,174.2950234,131.0857961,133.4361785
0,28,126.7666913,124.0031541,107.7181257,172.6414409,168.3487362,123.3952416,128.6182786
0,29,129.4372719,124.6611371,112.6211412,170.4068006,165.019252,117.9265705,122.5154474
0,30,126.8420064,115.1430374,132.191137,156.3007015,132.6919744,113.7928209,116.1589065
0,31,140.5157147,125.2883028,136.3861896,157.598833,177.6056466,105.5925057,110.6601994
0,32,143.0542017,124.3549707,139.5461063,152.1584221,163.9642011,103.2755273,106.4010773
