vid_id,frame_order,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder
385,0,37.564319125,78.3612655,40.011722125,99.66762825,130.031808,95.1235945,101.17178675
385,1,37.36391111111111,77.454791,39.907995222222226,97.232304,127.28820933333334,96.30503622222221,100.17836933333334
385,2,37.1002636,76.6283449,39.4133524,94.59424659999999,123.20645180000001,97.1216086,99.2847894
385,3,37.545128727272726,76.68475990909091,38.83122036363636,91.81454463636364,119.00214890909092,98.293236,100.06254399999999
385,4,38.4096885,76.72217991666666,38.352572333333335,89.50017541666666,115.0606265,99.18077883333332,99.94215033333334
385,5,39.21003861538462,76.487848,37.76400392307692,87.71362115384615,111.58088676923077,99.73171323076923,99.77458646153846
385,6,41.80432692857143,77.97356242857143,36.947043,85.44273771428571,107.876407,101.04289985714286,100.59319785714285
385,7,43.74148913333333,78.94203993333333,36.21173186666667,83.5251334,104.75498093333334,101.93265386666667,100.584604
385,8,44.25786593333333,79.6972176,34.8876508,77.2378396,98.39611026666667,101.46189386666668,101.01804333333332
385,9,46.6300226,81.19380793333335,34.158167133333336,72.5389848,92.35016586666666,102.09868653333335,101.02034373333335
385,10,47.09635993333334,80.83033126666666,33.34194013333333,69.17642066666667,86.8636412,102.34577853333333,99.68855666666668
385,11,49.59762513333333,81.608262,32.144396666666665,66.9494488,82.2741292,103.81980120000001,99.57703
385,12,52.36251353333333,82.56466973333335,31.053268866666667,64.55032346666665,77.36498040000001,105.6616716,99.78309466666666
385,13,54.58176293333334,82.32065506666666,29.928866533333334,62.77656373333333,73.36914973333334,109.02082653333333,99.13953500000001
385,14,56.624523999999994,82.64382906666667,29.149491066666666,59.88826533333334,68.43317226666666,110.01810320000001,98.34970246666667
385,15,58.287017399999996,82.8569344,28.110890400000002,57.9744484,64.36751693333333,111.11856053333334,98.53296886666666
385,16,60.14792666666666,83.7799494,27.2357362,55.84737346666667,60.6862116,111.38136519999999,98.83602486666665
385,17,61.77960113333333,84.8943278,26.683581066666665,54.539649000000004,58.86329066666667,112.1550852,100.13982286666668
